cv_id,jd_id,jd_pool,n_cv,n_jd,n_cv_skills,n_cv_experience,n_cv_education,n_cv_mixed,n_jd_skills,n_jd_experience,n_jd_education,n_jd_mixed,skills_block,experience_block,education_block,edu_required,edu_fallback_used
cv_engineer,Flash Pack_people_partner,hr_extra,49,20,9,36,2,2,0,1,0,19,0.3778,0.396,0.3869,False,True
cv_engineer,G-Research_Insight_Analyst,main,49,18,9,36,2,2,8,3,1,6,0.3392,0.3632,0.3131,True,False
cv_engineer,Grafana Labs People Analytics Analyst,hr_extra,49,22,9,36,2,2,11,4,0,7,0.3404,0.3686,0.3545,False,True
cv_engineer,HP Software_Business Solution Architect,engineer_extra,49,27,9,36,2,2,17,3,2,5,0.3273,0.407,0.2848,True,False
cv_engineer,Hero_Group_HR_Tech_People_Analytics_Specialist,hr_extra,49,18,9,36,2,2,8,7,2,1,0.39,0.4161,0.3237,True,False
cv_engineer,Johnson_Controls_People Insights_Partner ,main,49,27,9,36,2,2,9,2,2,14,0.3078,0.336,0.2307,True,False
cv_engineer,Klaviyo_Senior_Solution_Architect,engineer_extra,49,39,9,36,2,2,0,2,0,37,0.4258,0.4467,0.4362,False,True
cv_engineer,Leidos_HR_Technology_and_AI_Analyst,hr_extra,49,8,9,36,2,2,3,0,1,4,0.3405,0.4335,0.3308,True,False
cv_engineer,LinkedIn_HR_Data_Engineer_People_Analytics ,main,49,26,9,36,2,2,9,8,2,7,0.3642,0.4121,0.3545,True,False
cv_engineer,Micro:bit Educational Foundation People and Culture Manager,hr_extra,49,39,9,36,2,2,9,5,1,24,0.3633,0.4035,0.2312,True,False
cv_engineer,Natuvion_Senior_People_Strategy_Excellence_Manager_mwd,hr_extra,49,19,9,36,2,2,3,9,1,6,0.2657,0.3034,0.2104,True,False
cv_engineer,Pimcore_HR Generalist,hr_extra,49,14,9,36,2,2,6,6,1,1,0.3363,0.3386,0.1989,True,False
cv_engineer,Polestarcars_People_Analytics_AI_Specialist,hr_extra,49,19,9,36,2,2,4,8,2,5,0.3431,0.3232,0.333,True,False
cv_engineer,Proofpoint_People_Data_Analyst,main,49,19,9,36,2,2,12,3,1,3,0.345,0.3292,0.3555,True,False
cv_engineer,QIC_Digital_Hub_data_analyst,main,49,14,9,36,2,2,7,7,0,0,0.2652,0.3492,0.3072,False,True
cv_engineer,QIT Software_data_scientist,main,49,19,9,36,2,2,6,10,0,3,0.2628,0.3195,0.2912,False,True
cv_engineer,SKM Group_ai_solution_architech,engineer_extra,49,14,9,36,2,2,12,1,0,1,0.343,0.4616,0.4023,False,True
cv_engineer,Senior_AI Engineer_MoveUp,main,49,22,9,36,2,2,13,9,0,0,0.3082,0.4317,0.37,False,True
cv_engineer,TheHiveCareers_Technical Architect,engineer_extra,49,12,9,36,2,2,7,3,2,0,0.4471,0.5897,0.3395,True,False
cv_engineer,Theprogenygroup_People_Partner,hr_extra,49,26,9,36,2,2,3,1,1,21,0.3762,0.3837,0.287,True,False
cv_engineer,air_aps_Software Architect,engineer_extra,49,23,9,36,2,2,8,2,0,13,0.5001,0.4887,0.4944,False,True
cv_engineer,angels-space-art-director,main,49,17,9,36,2,2,9,5,0,3,0.288,0.332,0.31,False,True
cv_engineer,anglian-water-lead-systems-engineer,main,49,20,9,36,2,2,5,6,1,8,0.4353,0.4566,0.4113,True,False
cv_engineer,automat_it_hr_specialist_b6fd68,hr_extra,49,22,9,36,2,2,9,13,0,0,0.3784,0.3079,0.3432,False,True
cv_engineer,bazaarvoice-provisioning-analyst,main,49,14,9,36,2,2,6,6,1,1,0.3887,0.3599,0.2731,True,False
cv_engineer,bpostgroup_People_Analytics_Data_Scientist ,main,49,15,9,36,2,2,4,2,0,9,0.3359,0.3208,0.3284,False,True
cv_engineer,chime_software_engineer_mypay_73eb57,engineer_extra,49,12,9,36,2,2,3,1,0,8,0.4261,0.4437,0.4349,False,True
cv_engineer,codility_assessment_scientist,main,49,25,9,36,2,2,11,9,1,4,0.359,0.4404,0.2921,True,False
cv_engineer,consensys_senior_people_operations_partner_b4959a,hr_extra,49,28,9,36,2,2,11,10,1,6,0.3773,0.3587,0.2808,True,False
cv_engineer,doordash_senior_people_process_optimization_strategist_f16ebc,hr_extra,49,21,9,36,2,2,11,7,0,3,0.393,0.4345,0.4137,False,True
cv_engineer,ecolab_business_development_representative_digital_soft_c1ea4b,engineer_extra,49,20,9,36,2,2,9,8,1,2,0.3763,0.3668,0.196,True,False
cv_engineer,ecs_senior_hr_business_partner_59b2ad,hr_extra,49,29,9,36,2,2,5,3,1,20,0.3852,0.3611,0.2923,True,False
cv_engineer,ecs_web_software_developer_5c342c,engineer_extra,49,17,9,36,2,2,7,5,0,5,0.2615,0.3794,0.3204,False,True
cv_engineer,epam_systems_solution_architect_3d03a4,engineer_extra,49,3,9,36,2,2,0,1,0,2,0.4503,0.5031,0.4767,False,True
cv_engineer,fivetran_senior_solution_architect_enterprise_1ce484,engineer_extra,49,31,9,36,2,2,23,7,0,1,0.3719,0.3766,0.3742,False,True
cv_engineer,fortis_games_senior_manager_people_experience_74a6fe,hr_extra,49,24,9,36,2,2,5,6,0,13,0.3954,0.3778,0.3866,False,True
cv_engineer,freeplay_data_scientist,main,49,10,9,36,2,2,5,4,0,1,0.3087,0.3088,0.3088,False,True
cv_engineer,hubspot_principal_software_engineer_customer_journey_c3fa8a,engineer_extra,49,18,9,36,2,2,5,4,0,9,0.4392,0.4408,0.44,False,True
cv_engineer,infor_consultant_senior_warehouse_management_systems_5a3616,engineer_extra,49,15,9,36,2,2,3,5,0,7,0.3673,0.3921,0.3797,False,True
cv_engineer,lightning-ai-frontend-engineer,main,49,12,9,36,2,2,6,5,0,1,0.3967,0.5085,0.4526,False,True
cv_engineer,maki_people_senior_psychometrician,main,49,33,9,36,2,2,19,3,1,10,0.3323,0.3901,0.1446,True,False
cv_engineer,mantech_senior_model_based_system_engineer_ab246d,engineer_extra,49,16,9,36,2,2,2,8,2,4,0.3774,0.4061,0.3318,True,False
cv_engineer,meta_data_analyst,main,49,19,9,36,2,2,1,10,1,7,0.3221,0.3484,0.3422,True,False
cv_engineer,meta_software_engineer_leadership_machine_learning_8bf9b1,engineer_extra,49,3,9,36,2,2,0,1,0,2,0.4305,0.5247,0.4776,False,True
cv_engineer,morgan_stanley_systems_analyst_director_ac9c07,engineer_extra,49,33,9,36,2,2,14,9,1,9,0.3899,0.4504,0.3132,True,False
cv_engineer,nvidia_senior_software_engineer_jax_269b9a,engineer_extra,49,18,9,36,2,2,8,7,1,2,0.3386,0.3886,0.379,True,False
cv_engineer,orient path_ Research Lead – Cognitive Modeling & Human-AI Systems,engineer_extra,49,23,9,36,2,2,0,6,1,16,0.2555,0.2952,0.2966,True,False
cv_engineer,postman_strategic_solutions_engineer_8b835a,engineer_extra,49,23,9,36,2,2,13,8,1,1,0.3862,0.4623,0.4019,True,False
cv_engineer,revecore_senior_director_ai_systems_be600f,engineer_extra,49,15,9,36,2,2,2,6,0,7,0.4123,0.4039,0.4081,False,True
cv_engineer,skillvue_people_scientist,main,49,12,9,36,2,2,7,3,1,1,0.333,0.3782,0.3413,True,False
cv_engineer,smartsheet_senior_people_operations_generalist_c0b593,hr_extra,49,19,9,36,2,2,7,10,1,1,0.3395,0.369,0.2229,True,False
cv_engineer,sorare-marketing-graphic-designer,main,49,12,9,36,2,2,5,3,0,4,0.3562,0.3419,0.349,False,True
cv_engineer,spectrum_one_people_operations_associate_bdd6be,hr_extra,49,23,9,36,2,2,7,13,0,3,0.333,0.3082,0.3206,False,True
cv_engineer,the_hartford_director_of_enterprise_architecture_genai_fa5710,engineer_extra,49,36,9,36,2,2,8,4,2,22,0.3649,0.4502,0.2982,True,False
cv_engineer,the_hartford_senior_data_architect_ac30d9,engineer_extra,49,12,9,36,2,2,6,2,1,3,0.3404,0.4758,0.3074,True,False
cv_engineer,the_world_bank_consultant_agent_evaluation,main,49,12,9,36,2,2,3,1,0,8,0.3345,0.3319,0.3332,False,True
cv_engineer,tines_senior_software_engineer_full_stack_735b5d,engineer_extra,49,18,9,36,2,2,3,9,0,6,0.4264,0.4648,0.4456,False,True
cv_engineer,unicef_people_culture_specialist,main,49,18,9,36,2,2,12,3,1,2,0.3394,0.4072,0.2588,True,False
cv_engineer,utopia_Technical Architect,engineer_extra,49,21,9,36,2,2,7,3,2,9,0.3584,0.4503,0.2761,True,False
cv_engineer,wizeline_senior_net_software_engineer_5423a8,engineer_extra,49,24,9,36,2,2,15,3,1,5,0.3243,0.4233,0.3717,True,False
cv_engineer,zs_business_technology_solutions_associate_consultant_5a0be3,engineer_extra,49,2,9,36,2,2,0,0,0,2,0.4136,0.4943,0.454,False,True
cv_hr, Product_Growth_Analyst_wiris,main,44,19,9,18,4,13,9,8,1,1,0.3413,0.4379,0.2513,True,False
cv_hr,AI_Video_Editor_PARTNERS,main,44,9,9,18,4,13,4,3,1,1,0.2404,0.3029,0.1776,True,False
cv_hr,Accenture_Talent_Transformation_Manager,main,44,27,9,18,4,13,5,7,0,15,0.4503,0.4956,0.473,False,True
cv_hr,Applied_AI_Engineer_Impress,main,44,16,9,18,4,13,9,1,0,6,0.4221,0.4121,0.4171,False,True
cv_hr,Arrive_People_Analytics_Lead,main,44,20,9,18,4,13,8,2,1,9,0.4473,0.4037,0.2698,True,False
cv_hr,Atlantica Sustainable Infrastructure_Talent_Culture Analyst,main,44,22,9,18,4,13,9,2,1,10,0.4492,0.5426,0.2458,True,False
cv_hr,Bobcatemea_HR_Data_Analyst,hr_extra,44,14,9,18,4,13,5,7,0,2,0.3879,0.5169,0.4524,False,True
cv_hr,Canonical_talent_scientst,main,44,24,9,18,4,13,8,7,5,4,0.3623,0.4742,0.2561,True,False
cv_hr,Customer_success_specialist_CareWise,main,44,18,9,18,4,13,11,7,0,0,0.3522,0.398,0.3751,False,True
cv_hr,Dandelion_Civilization_Psychometric Modeling_Analyst,main,44,28,9,18,4,13,16,3,1,8,0.4005,0.4337,0.3809,True,False
cv_hr,DataAnnotation_Quantitative_Psychologist_AI_Trainer,main,44,14,9,18,4,13,3,1,4,6,0.3516,0.4222,0.1766,True,False
cv_hr,Data_Architect_Hanna_Robulets_Company,main,44,15,9,18,4,13,8,5,0,2,0.2992,0.4493,0.3742,False,True
cv_hr,Digital_Learning_Applications_Schneider_Electric,main,44,32,9,18,4,13,4,1,1,26,0.4184,0.4414,0.2857,True,False
cv_hr,FareHarbor_People_Data_Analyst,hr_extra,44,21,9,18,4,13,9,4,1,7,0.434,0.464,0.2715,True,False
cv_hr,Flash Pack_people_partner,hr_extra,44,20,9,18,4,13,0,1,0,19,0.4709,0.5029,0.4869,False,True
cv_hr,G-Research_Insight_Analyst,main,44,18,9,18,4,13,8,3,1,6,0.3963,0.4249,0.2401,True,False
cv_hr,Grafana Labs People Analytics Analyst,hr_extra,44,22,9,18,4,13,11,4,0,7,0.3996,0.4844,0.442,False,True
cv_hr,HP Software_Business Solution Architect,engineer_extra,44,27,9,18,4,13,17,3,2,5,0.4001,0.4391,0.2675,True,False
cv_hr,Hero_Group_HR_Tech_People_Analytics_Specialist,hr_extra,44,18,9,18,4,13,8,7,2,1,0.4943,0.5375,0.3392,True,False
cv_hr,Johnson_Controls_People Insights_Partner ,main,44,27,9,18,4,13,9,2,2,14,0.3636,0.4329,0.313,True,False
cv_hr,Klaviyo_Senior_Solution_Architect,engineer_extra,44,39,9,18,4,13,0,2,0,37,0.4416,0.4863,0.464,False,True
cv_hr,Leidos_HR_Technology_and_AI_Analyst,hr_extra,44,8,9,18,4,13,3,0,1,4,0.415,0.4489,0.2384,True,False
cv_hr,LinkedIn_HR_Data_Engineer_People_Analytics ,main,44,26,9,18,4,13,9,8,2,7,0.3713,0.461,0.2581,True,False
cv_hr,Micro:bit Educational Foundation People and Culture Manager,hr_extra,44,39,9,18,4,13,9,5,1,24,0.4797,0.4941,0.2831,True,False
cv_hr,Natuvion_Senior_People_Strategy_Excellence_Manager_mwd,hr_extra,44,19,9,18,4,13,3,9,1,6,0.331,0.3689,0.4675,True,False
cv_hr,Pimcore_HR Generalist,hr_extra,44,14,9,18,4,13,6,6,1,1,0.3782,0.4639,0.1655,True,False
cv_hr,Polestarcars_People_Analytics_AI_Specialist,hr_extra,44,19,9,18,4,13,4,8,2,5,0.411,0.5035,0.3111,True,False
cv_hr,Proofpoint_People_Data_Analyst,main,44,19,9,18,4,13,12,3,1,3,0.383,0.4052,0.2801,True,False
cv_hr,QIC_Digital_Hub_data_analyst,main,44,14,9,18,4,13,7,7,0,0,0.2607,0.3626,0.3117,False,True
cv_hr,QIT Software_data_scientist,main,44,19,9,18,4,13,6,10,0,3,0.2952,0.2974,0.2963,False,True
cv_hr,SKM Group_ai_solution_architech,engineer_extra,44,14,9,18,4,13,12,1,0,1,0.3009,0.3718,0.3364,False,True
cv_hr,Senior_AI Engineer_MoveUp,main,44,22,9,18,4,13,13,9,0,0,0.2896,0.3972,0.3434,False,True
cv_hr,TheHiveCareers_Technical Architect,engineer_extra,44,12,9,18,4,13,7,3,2,0,0.3956,0.4728,0.3086,True,False
cv_hr,Theprogenygroup_People_Partner,hr_extra,44,26,9,18,4,13,3,1,1,21,0.4877,0.4842,0.2822,True,False
cv_hr,air_aps_Software Architect,engineer_extra,44,23,9,18,4,13,8,2,0,13,0.3848,0.422,0.4034,False,True
cv_hr,angels-space-art-director,main,44,17,9,18,4,13,9,5,0,3,0.3522,0.395,0.3736,False,True
cv_hr,anglian-water-lead-systems-engineer,main,44,20,9,18,4,13,5,6,1,8,0.3538,0.4881,0.2631,True,False
cv_hr,automat_it_hr_specialist_b6fd68,hr_extra,44,22,9,18,4,13,9,13,0,0,0.4603,0.5054,0.4828,False,True
cv_hr,bazaarvoice-provisioning-analyst,main,44,14,9,18,4,13,6,6,1,1,0.4496,0.2933,0.2988,True,False
cv_hr,bpostgroup_People_Analytics_Data_Scientist ,main,44,15,9,18,4,13,4,2,0,9,0.4699,0.4214,0.4456,False,True
cv_hr,chime_software_engineer_mypay_73eb57,engineer_extra,44,12,9,18,4,13,3,1,0,8,0.3679,0.3693,0.3686,False,True
cv_hr,codility_assessment_scientist,main,44,25,9,18,4,13,11,9,1,4,0.4015,0.4752,0.2541,True,False
cv_hr,consensys_senior_people_operations_partner_b4959a,hr_extra,44,28,9,18,4,13,11,10,1,6,0.4247,0.4859,0.2591,True,False
cv_hr,doordash_senior_people_process_optimization_strategist_f16ebc,hr_extra,44,21,9,18,4,13,11,7,0,3,0.4436,0.4551,0.4493,False,True
cv_hr,ecolab_business_development_representative_digital_soft_c1ea4b,engineer_extra,44,20,9,18,4,13,9,8,1,2,0.4086,0.4484,0.2407,True,False
cv_hr,ecs_senior_hr_business_partner_59b2ad,hr_extra,44,29,9,18,4,13,5,3,1,20,0.4533,0.4744,0.2235,True,False
cv_hr,ecs_web_software_developer_5c342c,engineer_extra,44,17,9,18,4,13,7,5,0,5,0.2334,0.3253,0.2793,False,True
cv_hr,epam_systems_solution_architect_3d03a4,engineer_extra,44,3,9,18,4,13,0,1,0,2,0.408,0.406,0.407,False,True
cv_hr,fivetran_senior_solution_architect_enterprise_1ce484,engineer_extra,44,31,9,18,4,13,23,7,0,1,0.3168,0.3699,0.3434,False,True
cv_hr,fortis_games_senior_manager_people_experience_74a6fe,hr_extra,44,24,9,18,4,13,5,6,0,13,0.4502,0.4762,0.4632,False,True
cv_hr,freeplay_data_scientist,main,44,10,9,18,4,13,5,4,0,1,0.3145,0.3236,0.3191,False,True
cv_hr,hubspot_principal_software_engineer_customer_journey_c3fa8a,engineer_extra,44,18,9,18,4,13,5,4,0,9,0.3759,0.4184,0.3971,False,True
cv_hr,infor_consultant_senior_warehouse_management_systems_5a3616,engineer_extra,44,15,9,18,4,13,3,5,0,7,0.4038,0.3802,0.392,False,True
cv_hr,lightning-ai-frontend-engineer,main,44,12,9,18,4,13,6,5,0,1,0.365,0.4657,0.4153,False,True
cv_hr,maki_people_senior_psychometrician,main,44,33,9,18,4,13,19,3,1,10,0.3749,0.4035,0.3335,True,False
cv_hr,mantech_senior_model_based_system_engineer_ab246d,engineer_extra,44,16,9,18,4,13,2,8,2,4,0.3336,0.3924,0.2956,True,False
cv_hr,meta_data_analyst,main,44,19,9,18,4,13,1,10,1,7,0.3107,0.4394,0.2295,True,False
cv_hr,meta_software_engineer_leadership_machine_learning_8bf9b1,engineer_extra,44,3,9,18,4,13,0,1,0,2,0.4675,0.4491,0.4583,False,True
cv_hr,morgan_stanley_systems_analyst_director_ac9c07,engineer_extra,44,33,9,18,4,13,14,9,1,9,0.3865,0.4339,0.2563,True,False
cv_hr,nvidia_senior_software_engineer_jax_269b9a,engineer_extra,44,18,9,18,4,13,8,7,1,2,0.345,0.3413,0.1916,True,False
cv_hr,orient path_ Research Lead – Cognitive Modeling & Human-AI Systems,engineer_extra,44,23,9,18,4,13,0,6,1,16,0.335,0.3448,0.2243,True,False
cv_hr,postman_strategic_solutions_engineer_8b835a,engineer_extra,44,23,9,18,4,13,13,8,1,1,0.3831,0.4854,0.2404,True,False
cv_hr,revecore_senior_director_ai_systems_be600f,engineer_extra,44,15,9,18,4,13,2,6,0,7,0.3744,0.4425,0.4085,False,True
cv_hr,skillvue_people_scientist,main,44,12,9,18,4,13,7,3,1,1,0.3915,0.4145,0.3837,True,False
cv_hr,smartsheet_senior_people_operations_generalist_c0b593,hr_extra,44,19,9,18,4,13,7,10,1,1,0.3914,0.4429,0.2229,True,False
cv_hr,sorare-marketing-graphic-designer,main,44,12,9,18,4,13,5,3,0,4,0.3675,0.4193,0.3934,False,True
cv_hr,spectrum_one_people_operations_associate_bdd6be,hr_extra,44,23,9,18,4,13,7,13,0,3,0.4206,0.3975,0.409,False,True
cv_hr,the_hartford_director_of_enterprise_architecture_genai_fa5710,engineer_extra,44,36,9,18,4,13,8,4,2,22,0.346,0.3807,0.2709,True,False
cv_hr,the_hartford_senior_data_architect_ac30d9,engineer_extra,44,12,9,18,4,13,6,2,1,3,0.3486,0.3935,0.3001,True,False
cv_hr,the_world_bank_consultant_agent_evaluation,main,44,12,9,18,4,13,3,1,0,8,0.3516,0.3757,0.3636,False,True
cv_hr,tines_senior_software_engineer_full_stack_735b5d,engineer_extra,44,18,9,18,4,13,3,9,0,6,0.4326,0.4162,0.4244,False,True
cv_hr,unicef_people_culture_specialist,main,44,18,9,18,4,13,12,3,1,2,0.3971,0.4766,0.2952,True,False
cv_hr,utopia_Technical Architect,engineer_extra,44,21,9,18,4,13,7,3,2,9,0.3475,0.3799,0.2804,True,False
cv_hr,wizeline_senior_net_software_engineer_5423a8,engineer_extra,44,24,9,18,4,13,15,3,1,5,0.307,0.4517,0.2745,True,False
cv_hr,zs_business_technology_solutions_associate_consultant_5a0be3,engineer_extra,44,2,9,18,4,13,0,0,0,2,0.5367,0.5844,0.5605,False,True
cv_primary, Product_Growth_Analyst_wiris,main,35,19,7,23,3,2,9,8,1,1,0.377,0.447,0.3756,True,False
cv_primary,AI_Video_Editor_PARTNERS,main,35,9,7,23,3,2,4,3,1,1,0.2477,0.3041,0.1775,True,False
cv_primary,Accenture_Talent_Transformation_Manager,main,35,27,7,23,3,2,5,7,0,15,0.3051,0.408,0.3566,False,True
cv_primary,Applied_AI_Engineer_Impress,main,35,16,7,23,3,2,9,1,0,6,0.3526,0.3908,0.3717,False,True
cv_primary,Arrive_People_Analytics_Lead,main,35,20,7,23,3,2,8,2,1,9,0.4013,0.3917,0.1271,True,False
cv_primary,Atlantica Sustainable Infrastructure_Talent_Culture Analyst,main,35,22,7,23,3,2,9,2,1,10,0.3282,0.3932,0.4393,True,False
cv_primary,Bobcatemea_HR_Data_Analyst,hr_extra,35,14,7,23,3,2,5,7,0,2,0.4246,0.3776,0.4011,False,True
cv_primary,Canonical_talent_scientst,main,35,24,7,23,3,2,8,7,5,4,0.3857,0.4128,0.2814,True,False
cv_primary,Customer_success_specialist_CareWise,main,35,18,7,23,3,2,11,7,0,0,0.2694,0.3138,0.2916,False,True
cv_primary,Dandelion_Civilization_Psychometric Modeling_Analyst,main,35,28,7,23,3,2,16,3,1,8,0.4077,0.4671,0.6406,True,False
cv_primary,DataAnnotation_Quantitative_Psychologist_AI_Trainer,main,35,14,7,23,3,2,3,1,4,6,0.4441,0.4699,0.1478,True,False
cv_primary,Data_Architect_Hanna_Robulets_Company,main,35,15,7,23,3,2,8,5,0,2,0.3363,0.4091,0.3727,False,True
cv_primary,Digital_Learning_Applications_Schneider_Electric,main,35,32,7,23,3,2,4,1,1,26,0.2797,0.3589,0.3628,True,False
cv_primary,FareHarbor_People_Data_Analyst,hr_extra,35,21,7,23,3,2,9,4,1,7,0.3592,0.4555,0.3628,True,False
cv_primary,Flash Pack_people_partner,hr_extra,35,20,7,23,3,2,0,1,0,19,0.3005,0.3302,0.3154,False,True
cv_primary,G-Research_Insight_Analyst,main,35,18,7,23,3,2,8,3,1,6,0.359,0.4108,0.406,True,False
cv_primary,Grafana Labs People Analytics Analyst,hr_extra,35,22,7,23,3,2,11,4,0,7,0.411,0.4438,0.4274,False,True
cv_primary,HP Software_Business Solution Architect,engineer_extra,35,27,7,23,3,2,17,3,2,5,0.2776,0.3381,0.3081,True,False
cv_primary,Hero_Group_HR_Tech_People_Analytics_Specialist,hr_extra,35,18,7,23,3,2,8,7,2,1,0.3736,0.3787,0.4357,True,False
cv_primary,Johnson_Controls_People Insights_Partner ,main,35,27,7,23,3,2,9,2,2,14,0.355,0.4112,0.2907,True,False
cv_primary,Klaviyo_Senior_Solution_Architect,engineer_extra,35,39,7,23,3,2,0,2,0,37,0.2611,0.3982,0.3296,False,True
cv_primary,Leidos_HR_Technology_and_AI_Analyst,hr_extra,35,8,7,23,3,2,3,0,1,4,0.4387,0.4756,0.3593,True,False
cv_primary,LinkedIn_HR_Data_Engineer_People_Analytics ,main,35,26,7,23,3,2,9,8,2,7,0.3701,0.4695,0.3351,True,False
cv_primary,Micro:bit Educational Foundation People and Culture Manager,hr_extra,35,39,7,23,3,2,9,5,1,24,0.3153,0.3754,0.2471,True,False
cv_primary,Natuvion_Senior_People_Strategy_Excellence_Manager_mwd,hr_extra,35,19,7,23,3,2,3,9,1,6,0.2533,0.3149,0.313,True,False
cv_primary,Pimcore_HR Generalist,hr_extra,35,14,7,23,3,2,6,6,1,1,0.2972,0.2935,0.0915,True,False
cv_primary,Polestarcars_People_Analytics_AI_Specialist,hr_extra,35,19,7,23,3,2,4,8,2,5,0.3842,0.4072,0.3233,True,False
cv_primary,Proofpoint_People_Data_Analyst,main,35,19,7,23,3,2,12,3,1,3,0.3615,0.4245,0.372,True,False
cv_primary,QIC_Digital_Hub_data_analyst,main,35,14,7,23,3,2,7,7,0,0,0.3645,0.3797,0.3721,False,True
cv_primary,QIT Software_data_scientist,main,35,19,7,23,3,2,6,10,0,3,0.4478,0.4272,0.4375,False,True
cv_primary,SKM Group_ai_solution_architech,engineer_extra,35,14,7,23,3,2,12,1,0,1,0.311,0.3007,0.3059,False,True
cv_primary,Senior_AI Engineer_MoveUp,main,35,22,7,23,3,2,13,9,0,0,0.3327,0.4078,0.3702,False,True
cv_primary,TheHiveCareers_Technical Architect,engineer_extra,35,12,7,23,3,2,7,3,2,0,0.2807,0.4171,0.3434,True,False
cv_primary,Theprogenygroup_People_Partner,hr_extra,35,26,7,23,3,2,3,1,1,21,0.2966,0.3712,0.2544,True,False
cv_primary,air_aps_Software Architect,engineer_extra,35,23,7,23,3,2,8,2,0,13,0.2876,0.3311,0.3094,False,True
cv_primary,angels-space-art-director,main,35,17,7,23,3,2,9,5,0,3,0.3309,0.3043,0.3176,False,True
cv_primary,anglian-water-lead-systems-engineer,main,35,20,7,23,3,2,5,6,1,8,0.2151,0.3595,0.3609,True,False
cv_primary,automat_it_hr_specialist_b6fd68,hr_extra,35,22,7,23,3,2,9,13,0,0,0.2925,0.3251,0.3088,False,True
cv_primary,bazaarvoice-provisioning-analyst,main,35,14,7,23,3,2,6,6,1,1,0.2785,0.2778,0.4013,True,False
cv_primary,bpostgroup_People_Analytics_Data_Scientist ,main,35,15,7,23,3,2,4,2,0,9,0.3744,0.3792,0.3768,False,True
cv_primary,chime_software_engineer_mypay_73eb57,engineer_extra,35,12,7,23,3,2,3,1,0,8,0.264,0.3485,0.3062,False,True
cv_primary,codility_assessment_scientist,main,35,25,7,23,3,2,11,9,1,4,0.4186,0.4908,0.6977,True,False
cv_primary,consensys_senior_people_operations_partner_b4959a,hr_extra,35,28,7,23,3,2,11,10,1,6,0.3366,0.335,0.4433,True,False
cv_primary,doordash_senior_people_process_optimization_strategist_f16ebc,hr_extra,35,21,7,23,3,2,11,7,0,3,0.2973,0.3703,0.3338,False,True
cv_primary,ecolab_business_development_representative_digital_soft_c1ea4b,engineer_extra,35,20,7,23,3,2,9,8,1,2,0.3067,0.3685,0.2855,True,False
cv_primary,ecs_senior_hr_business_partner_59b2ad,hr_extra,35,29,7,23,3,2,5,3,1,20,0.3171,0.3428,0.3433,True,False
cv_primary,ecs_web_software_developer_5c342c,engineer_extra,35,17,7,23,3,2,7,5,0,5,0.1762,0.2405,0.2084,False,True
cv_primary,epam_systems_solution_architect_3d03a4,engineer_extra,35,3,7,23,3,2,0,1,0,2,0.256,0.3756,0.3158,False,True
cv_primary,fivetran_senior_solution_architect_enterprise_1ce484,engineer_extra,35,31,7,23,3,2,23,7,0,1,0.2822,0.3588,0.3205,False,True
cv_primary,fortis_games_senior_manager_people_experience_74a6fe,hr_extra,35,24,7,23,3,2,5,6,0,13,0.296,0.333,0.3145,False,True
cv_primary,freeplay_data_scientist,main,35,10,7,23,3,2,5,4,0,1,0.3259,0.3667,0.3463,False,True
